Simbolo;Nombre;Sector;Industria
NEE^O;NextEra Energy, Inc. 4.872% Corporate Units;NO APLICABLE;NO DISPONIBLE
NEE^P;NextEra Energy, Inc. 5.279% Corporate Units;NO APLICABLE;NO DISPONIBLE
NEE^Q;NextEra Energy, Inc. 6.219% Corporate Units;NO APLICABLE;NO DISPONIBLE
NESRW;National Energy Services Reunited Corp. Warrant;Finanzas;Servicios a empresas
NEWTL;Newtek Business Services Corp. 5.75% Notes due 2024;Finanzas;Finanzas/Servicios a inversores
NEWTZ;Newtek Business Services Corp. 5.50% Notes Due 2026;NO APLICABLE;NO DISPONIBLE
NGL^B;NGL ENERGY PARTNERS LP 9.00% Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partnership interests;NO APLICABLE;NO DISPONIBLE
NGL^C;NGL ENERGY PARTNERS LP 9.625% Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests;NO APLICABLE;NO DISPONIBLE
NHIC;NewHold Investment Corp. II;NO APLICABLE;NO DISPONIBLE
NHICU;NewHold Investment Corp. II Unit;NO APLICABLE;NO DISPONIBLE
NHICW;NewHold Investment Corp. II Warrant;NO APLICABLE;NO DISPONIBLE
NI^B;NiSource, Inc Depositary Shares representing 1/1,000th ownership interest in a share of 6.50% Series B Preferred Stock and 1/1,000th ownership interest in a share of Series B-1 Preferred Stock;NO APLICABLE;NO DISPONIBLE
NIMC;NiSource, Inc Series A Corporate Units;Servicios publicos;Generacion de energia
NLITW;Northern Lights Acquisition Corp. Warrants;NO APLICABLE;NO DISPONIBLE
NLSPW;NLS Pharmaceutics Ltd. Warrant;Sanidad;Biotecnologia Preparados Farmaceuticos
NLY^F;Annaly Capital Management Inc 6.95% Series F;NO APLICABLE;NO DISPONIBLE
NLY^G;Annaly Capital Management Inc 6.50% Series G Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NLY^I;Annaly Capital Management Inc 6.750% Series I Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NM^G;Navios Maritime Holdings Inc. Sponsored ADR Representing 1/100th Perpetual Preferred Series G;NO APLICABLE;NO DISPONIBLE
NM^H;Navios Maritime Holdings Inc. Sponsored ADR Representing 1/100th Perp. Preferred Series H%;NO APLICABLE;NO DISPONIBLE
NMAI;Nuveen Multi-Asset Income Fund Common Shares of Beneficial Interest;Finanzas;Gestores de inversiones
NMK^B;Niagara Mohawk Holdings, Inc. Preferred Stock;NO APLICABLE;NO DISPONIBLE
NMK^C;Niagara Mohawk Holdings, Inc. Preferred Stock;NO APLICABLE;NO DISPONIBLE
NMMCW;North Mountain Merger Corp. Warrant;NO APLICABLE;NO DISPONIBLE
NNAVW;NextNav Inc. Warrant;Bienes de capital;Maquinaria industrial/Componentes
NOACU;Natural Order Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
NOACW;Natural Order Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
NOVVR;Nova Vision Acquisition Corp. Rights;NO APLICABLE;NO DISPONIBLE
NOVVU;Nova Vision Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
NOVVW;Nova Vision Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
NPABU;New Providence Acquisition Corp. II Unit;NO APLICABLE;NO DISPONIBLE
NPCT;Nuveen Core Plus Impact Fund Common Shares of Beneficial Interest;Finanzas;Gestores de inversiones
NPFD;Nuveen Variable Rate Preferred & Income Fund Common Shares;Finanzas;#N/D
NRACU;Noble Rock Acquisition Corporation Unit;Finanzas;Servicios a empresas
NRACW;Noble Rock Acquisition Corporation Warrant;Finanzas;Servicios a empresas
NREF^A;NexPoint Real Estate Finance, Inc. 8.50% Series A Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NRSNW;NeuroSense Therapeutics Ltd. Warrant;NO APLICABLE;NO DISPONIBLE
NRUC;National Rural Utilities Cooperative Finance Corporation 5.500% Subordinated Notes due 2064;NO APLICABLE;NO DISPONIBLE
NRXPW;NRX Pharmaceuticals, Inc. Warrant;Sanidad;Biotecnologia Preparados Farmaceuticos
NRZ^A;New Residential Investment Corp. 7.50% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NRZ^B;New Residential Investment Corp. 7.125% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NRZ^C;New Residential Investment Corp. 6.375% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NRZ^D;New Residential Investment Corp. 7.00% Fixed-Rate Reset Series D Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
NS^A;Nustar Energy L.P. 8.50% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units;NO APLICABLE;NO DISPONIBLE
NS^B;Nustar Energy L.P. 7.625% Series B Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units representing limited partner interests;NO APLICABLE;NO DISPONIBLE
NS^C;Nustar Energy L.P. 9.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units;NO APLICABLE;NO DISPONIBLE
NSA^A;National Storage Affiliates Trust 6.000% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
NSS;NuStar Logistics, L.P. 7.625% Fixed-to-Floating Rate Subordinated Notes due 2043;NO APLICABLE;NO DISPONIBLE
NTRBW;Nutriband Inc. Warrant;Sanidad;Biotecnologia Preparados Farmaceuticos
NTRSO;Northern Trust Corporation Depositary Shares Each Representing a 1/1,000th Interest in a Share of Series E Non-Cumulative Perpetual Preferred Stock;Finanzas;#N/D
NUBIU;Nubia Brand International Corp. Unit;Finanzas;Servicios a empresas
NVACR;NorthView Acquisition Corporation Rights;NO APLICABLE;NO DISPONIBLE
NVACW;NorthView Acquisition Corporation Warrant;NO APLICABLE;NO DISPONIBLE
NVNOW;enVVeno Medical Corporation Warrants;Sanidad;Instrumentos medicos/odontologicos
NVSAU;New Vista Acquisition Corp Unit;Finanzas;Servicios a empresas
NVSAW;New Vista Acquisition Corp. Warrant;Finanzas;Servicios a empresas
NVVEW;Nuvve Holding Corp. Warrant;Energia;Refino de petroleo/Marketing
NXGLW;NexGel, Inc Warrant;Sanidad;Instrumentos medicos/odontologicos
NYCB^A;New York Community Bancorp, Inc. Depositary shares, each representing a 1/40th interest in a share of Fixed-to-Floating Rate Series A Noncumulative Perpetual Preferred Stock;NO APLICABLE;NO DISPONIBLE
NYCB^U;New York Community Bancorp, Inc. New York Community Capital Tr V;NO APLICABLE;NO DISPONIBLE
NYMTL;New York Mortgage Trust, Inc. 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
NYMTM;New York Mortgage Trust, Inc. 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
NYMTN;New York Mortgage Trust, Inc. 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
NYMTZ;New York Mortgage Trust, Inc. 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
OAK^A;Oaktree Capital Group, LLC 6.625% Series A Preferred units;NO APLICABLE;NO DISPONIBLE
OAK^B;Oaktree Capital Group, LLC 6.550% Series B Preferred Units;NO APLICABLE;NO DISPONIBLE
OCAXU;OCA Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
OCAXW;OCA Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OCCIO;OFS Credit Company, Inc. 6.125% Series C Term Preferred Stock;Finanzas;#N/D
OCFCP;OceanFirst Financial Corp. Depositary Shares;Finanzas;Instituciones de ahorro
OEPWW;One Equity Partners Open Water I Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OHAAU;OPY Acquisition Corp. I Units;NO APLICABLE;NO DISPONIBLE
OHAAW;OPY Acquisition Corp. I Warrant;NO APLICABLE;NO DISPONIBLE
OHPAU;Orion Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
OHPAW;Orion Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OLITU;OmniLit Acquisition Corp. Units;NO APLICABLE;NO DISPONIBLE
OLITW;OmniLit Acquisition Corp. Warrants.;NO APLICABLE;NO DISPONIBLE
ONBPO;Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock;Finanzas;Grandes bancos
ONBPP;Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock;Finanzas;Grandes bancos
ONYXW;Onyx Acquisition Co. I Warrant;NO APLICABLE;NO DISPONIBLE
OPINL;Office Properties Income Trust 6.375% Senior Notes due 2050;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
OPP^A;RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 4.375% Series A Cumulative Preferred Stock;NO APLICABLE;NO DISPONIBLE
OPP^B;RiverNorth/DoubleLine Strategic Opportunity Fund, Inc. 4.75% Series B Cumulative Preferred Stock;NO APLICABLE;NO DISPONIBLE
ORGNW;Origin Materials, Inc. Warrants;Industrias basicas;Grandes empresas quimicas
ORIAW;Orion Biotech Opportunities Corp. Warrant;Finanzas;Servicios a empresas
OSTRU;Oyster Enterprises Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
OSTRW;Oyster Enterprises Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OTECU;OceanTech Acquisitions I Corp. Units;NO APLICABLE;NO DISPONIBLE
OTECW;OceanTech Acquisitions I Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OTMOW;Otonomo Technologies Ltd. Warrant;NO APLICABLE;NO DISPONIBLE
OTRAW;OTR Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OTRKP;Ontrak, Inc. 9.50% Series A Cumulative Perpetual Preferred Stock;Tecnologia;Comercio al por menor Programas informaticos y equipos perifericos
OXACW;Oxbridge Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OXBRW;Oxbridge Re Holdings Limited Warrant expiring 3/26/2024;Finanzas;Aseguradoras de Daños
OXLCL;Oxford Lane Capital Corp. 6.75% Notes due 2031;Finanzas;Empresas financieras
OXLCM;Oxford Lane Capital Corp. 6.75% Series 2024 Term Preferred Stock;Finanzas;Gestores de inversiones
OXLCO;Oxford Lane Capital Corp. Preferred Stock Shares, 6.00% Series 2029;Finanzas;Gestores de inversiones
OXLCP;Oxford Lane Capital Corp. 6.25% Series 2027 Term Preferred Shares;Finanzas;Gestores de inversiones
OXLCZ;Oxford Lane Capital Corp. 5.00% Notes due 2027;Finanzas;Empresas financieras
OXSQL;Oxford Square Capital Corp. 6.50% Notes due 2024;NO APLICABLE;NO DISPONIBLE
OXSQZ;Oxford Square Capital Corp. 6.25% Notes due 2026;Finanzas;Banqueros/corredores/servicios de inversion
OXUSU;Oxus Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
OXUSW;Oxus Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
OZKAP;Bank OZK 4.625% Series A Non-Cumulative Perpetual Preferred Stock;Finanzas;Grandes bancos
PACXU;Pioneer Merger Corp. Unit;Finanzas;Servicios a empresas
PACXW;Pioneer Merger Corp. Warrant;Finanzas;Servicios a empresas
PAFOR;Pacifico Acquisition Corp. Rights;NO APLICABLE;NO DISPONIBLE
PAFOU;Pacifico Acquisition Corp. Units;NO APLICABLE;NO DISPONIBLE
PAQCU;Provident Acquisition Corp. Units;Finanzas;Servicios a empresas
PAQCW;Provident Acquisition Corp. Warrant;Finanzas;Servicios a empresas
PARAP;Paramount Global 5.75% Series A Mandatory Convertible Preferred Stock;Servicios al consumidor;Cine/Entretenimiento
PAVMZ;PAVmed Inc. Series Z Warrant;Sanidad;Especialidades industriales
PAXS;PIMCO Access Income Fund Common Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PAYOW;Payoneer Global Inc. Warrant;Tecnologia;Servicios EDP
PBAXU;Phoenix Biotech Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
PBCTP;People's United Financial, Inc. Perpetual Preferred Series A Fixed-to-floating Rate;Finanzas;Instituciones de ahorro
PBI^B;Pitney Bowes Inc 6.70% Notes Due 2043;NO APLICABLE;NO DISPONIBLE
PCCTU;Perception Capital Corp. II Units;NO APLICABLE;NO DISPONIBLE
PCCTW;Perception Capital Corp. II Warrants;NO APLICABLE;NO DISPONIBLE
PCG^A;Pacific Gas & Electric Co. 6% Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^B;Pacific Gas & Electric Co. 5 1/2% Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^C;Pacific Gas & Electric Co. 5% 1st Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^D;Pacific Gas & Electric Co. 5% 1st Red. Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^E;Pacific Gas & Electric Co. 5% 1st A Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^G;Pacific Gas & Electric Co. 4.80% 1st Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^H;Pacific Gas & Electric Co. 4.50% 1st Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCG^I;Pacific Gas & Electric Co. 4.36% 1st Preferred Stock;NO APLICABLE;NO DISPONIBLE
PCGU;Pacific Gas & Electric Co. Equity Unit;Servicios publicos;Generacion de energia
PCTTU;PureCycle Technologies, Inc. Unit;Servicios publicos;Servicios medioambientales
PCTTW;PureCycle Technologies, Inc. Warrant;Servicios publicos;Servicios medioambientales
PCXCU;Parsec Capital Acquisitions Corp Unit;NO APLICABLE;NO DISPONIBLE
PCXCW;Parsec Capital Acquisitions Corp Warrant;NO APLICABLE;NO DISPONIBLE
PEARW;Pear Therapeutics, Inc. Warrant;Tecnologia;Programas informaticos: Software preempaquetado
PEB^E;Pebblebrook Hotel Trust 6.375% Series E Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PEB^F;Pebblebrook Hotel Trust 6.3% Series F Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PEB^G;Pebblebrook Hotel Trust 6.375% Series G Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PEB^H;Pebblebrook Hotel Trust 5.700% Series H Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PEGRW;Project Energy Reimagined Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
PEI^B;Pennsylvania Real Estate Investment Trust Cumulative Redeemable Perpetual Preferred Shares Series B;NO APLICABLE;NO DISPONIBLE
PEI^C;Pennsylvania Real Estate Investment Trust 7.20% Series C Cumulative Redeemable Perpetual Preferred Shares;NO APLICABLE;NO DISPONIBLE
PEI^D;Pennsylvania Real Estate Investment Trust 6.875% Series D Cumulative Redeemable Perpetual Preferred Shares;NO APLICABLE;NO DISPONIBLE
PEPLU;PepperLime Health Acquisition Corporation Unit;NO APLICABLE;NO DISPONIBLE
PEPLW;PepperLime Health Acquisition Corporation Warrrant;NO APLICABLE;NO DISPONIBLE
PETVW;PetVivo Holdings, Inc. Warrant;Sanidad;Instrumentos medicos/odontologicos
PFDRU;Pathfinder Acquisition Corporation Unit;Tecnologia;Programas informaticos: Software preempaquetado
PFDRW;Pathfinder Acquisition Corporation Warrant;Tecnologia;Programas informaticos: Software preempaquetado
PFH;Prudential Financial, Inc. 4.125% Junior Subordinated Notes due 2060;NO APLICABLE;NO DISPONIBLE
PFTAU;Portage Fintech Acquisition Corporation Unit;NO APLICABLE;NO DISPONIBLE
PFXNL;PhenixFIN Corporation 6.125% Senior Notes due 2023;Finanzas;Gestores de inversiones
PFXNZ;PhenixFIN Corporation 5.25% Notes due 2028;NO APLICABLE;NO DISPONIBLE
PGRWW;Progress Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
PHICW;Population Health Investment Co., Inc. Warrant;Finanzas;Servicios a empresas
PHUNW;Phunware, Inc. Warrants;Tecnologia;Servicios EDP
PIIIW;P3 Health Partners Inc. Warrant;NO APLICABLE;NO DISPONIBLE
PLAOU;Patria Latin American Opportunity Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
PLMIU;Plum Acquisition Corp. I Units;Finanzas;Servicios a empresas
PLMIW;Plum Acquisition Corp. I Warrant;Finanzas;Servicios a empresas
PLYM^A;Plymouth Industrial REIT, Inc. 7.50% Series A Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
PMGMU;Priveterra Acquisition Corp. Units;NO APLICABLE;NO DISPONIBLE
PMGMW;Priveterra Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
PMT^A;PennyMac Mortgage Investment Trust 8.125% Series A Fixed-to-Floating Rate Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PMT^B;PennyMac Mortgage Investment Trust 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PMT^C;PennyMac Mortgage Investment Trust 6.75% Series C Cumulative Redeemable Preferred Shares of Beneficial Interest;NO APLICABLE;NO DISPONIBLE
PNC^P;PNC Financial Services Group, Inc.;NO APLICABLE;NO DISPONIBLE
PNFPP;Pinnacle Financial Partners, Inc. Depositary shares of Pinnacle Financial Partners, Inc., each representing a 1/40th Interest in a share of its 6.75% Fixed-Rate Non-Cumulative Perpetual Preferred Stock, Series B;Finanzas;Grandes bancos
PONOW;Pono Capital Corp Warrant;NO APLICABLE;NO DISPONIBLE
POWRU;Powered Brands Units;Finanzas;Servicios a empresas
POWRW;Powered Brands Warrants;Finanzas;Servicios a empresas
POWWP;AMMO, Inc. 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock;Bienes de capital;Militar/Gubernamental/Tecnico
PPGHU;Poema Global Holdings Corp. Unit;Finanzas;Servicios a empresas
PPGHW;Poema Global Holdings Corp. Warrant;Finanzas;Servicios a empresas
PPHPW;PHP Ventures Acquisition Corp. Warrants;NO APLICABLE;NO DISPONIBLE
PPYAU;Papaya Growth Opportunity Corp. I Unit;NO APLICABLE;NO DISPONIBLE
PPYAW;Papaya Growth Opportunity Corp. I Warrant;NO APLICABLE;NO DISPONIBLE
PRE^J;PartnerRe Ltd. 4.875% Fixed Rate Non-Cumulative Redeemable Preferred Shares, Series J;NO APLICABLE;NO DISPONIBLE
PRIF^D;Priority Income Fund, Inc. 7.00% Series D Term Preferred Stock due 2029;NO APLICABLE;NO DISPONIBLE
PRIF^F;Priority Income Fund, Inc. 6.625% Series F Term Preferred Stock due 2027;NO APLICABLE;NO DISPONIBLE
PRIF^G;Priority Income Fund, Inc. 6.25% Series G Preferred Stock Due 2026;NO APLICABLE;NO DISPONIBLE
PRIF^H;Priority Income Fund, Inc. 6.00% Series H Term Preferred Stock due 2026;NO APLICABLE;NO DISPONIBLE
PRIF^I;Priority Income Fund, Inc. 6.125% Series I Term Preferred Stock due 2028;NO APLICABLE;NO DISPONIBLE
PRIF^J;Priority Income Fund, Inc. 6.000% Series J Term Preferred Stock due 2028;NO APLICABLE;NO DISPONIBLE
PRIF^K;Priority Income Fund, Inc. 7.000% Series K Cumulative Preferred Stock;NO APLICABLE;NO DISPONIBLE
PRIF^L;Priority Income Fund, Inc. 6.375% Series L Term Preferred Stock Due 2029;NO APLICABLE;NO DISPONIBLE
PRLHU;Pearl Holdings Acquisition Corp Unit;NO APLICABLE;NO DISPONIBLE
PRLHW;Pearl Holdings Acquisition Corp Warrant;NO APLICABLE;NO DISPONIBLE
PROCW;Procaps Group, S.A. Warrants;NO APLICABLE;NO DISPONIBLE
PRSRU;Prospector Capital Corp. Unit;Finanzas;Servicios a empresas
PRSRW;Prospector Capital Corp. Warrants;Finanzas;Servicios a empresas
PSA^F;Public Storage Depositary Shares Each Representing 1/1,000 of a 5.15% Cumulative Preferred Share of Beneficial Interest, Series F, par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
PSA^G;Public Storage Depositary Shares, Each Representing 1/1,000 of a 5.05% Cumulative Preferred Share of Beneficial Interest, Series G;NO APLICABLE;NO DISPONIBLE
PSA^H;Public Storage Depositary Shares Each Representing 1/1,000 of a 5.60% Cumulative Preferred Share of Beneficial Interest, Series H;NO APLICABLE;NO DISPONIBLE
PSA^I;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.875% Cumulative Preferred Share of Beneficial Interest, Series I, par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
PSA^J;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.700% Cumulative Preferred Share of Beneficial Interest, Series J, par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
PSA^K;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.75% Cumulative Preferred Share of Beneficial Interest, Series K;NO APLICABLE;NO DISPONIBLE
PSA^L;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.625% Cumulative Preferred Share of Beneficial Interest, Series L, par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
PSA^M;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.125% Cumulative Preferred Share of Beneficial Interest, Series M;NO APLICABLE;NO DISPONIBLE
PSA^N;Public Storage Depositary Shares Each Representing 1/1,000 of a 3.875% Cumulative Preferred Share of Beneficial Interest, Series N;NO APLICABLE;NO DISPONIBLE
PSA^O;Public Storage Depositary Shares Each Representing 1/1,000 of a 3.900% Cumulative Preferred Share of Beneficial Interest, Series O;NO APLICABLE;NO DISPONIBLE
PSA^P;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.000% Cumulative Preferred Share of Bene cial Interest, Series P;NO APLICABLE;NO DISPONIBLE
PSA^Q;Public Storage Depositary Shares Each Representing 1/1,000 of a 3.950% Cumulative Preferred Share of Beneficial Interest, Series Q, par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
PSA^R;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.00% Cumulative Preferred Share of Bene cial Interest, Series R;NO APLICABLE;NO DISPONIBLE
PSA^S;Public Storage Depositary Shares Each Representing 1/1,000 of a 4.100% Cumulative Preferred Share of Beneficial Interest, Series S;NO APLICABLE;NO DISPONIBLE
PSAGU;Property Solutions Acquisition Corporation II Units;NO APLICABLE;NO DISPONIBLE
PSAGW;Property Solutions Acquisition Corporation II Warrant;NO APLICABLE;NO DISPONIBLE
PSB^X;PS Business Parks, Inc. Depositary Shares Each Representing 1/1,000 of a Share of 5.25% Cumulative Preferred Stock, Series X;NO APLICABLE;NO DISPONIBLE
PSB^Y;PS Business Parks, Inc. 5.20% Cumulative Preferred Stock, Series Y;NO APLICABLE;NO DISPONIBLE
PSB^Z;PS Business Parks, Inc. Depositary Shares Each Representing 1/1000 of a Share of 4.875% Cumulative Preferred Stock, Series Z , par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
PSEC^A;Prospect Capital Corporation 5.35% Series A Fixed Rate Cumulative Perpetual Preferred Stock;NO APLICABLE;NO DISPONIBLE
PTICW;PropTech Investment Corporation II Warrant;NO APLICABLE;NO DISPONIBLE
PTOCW;Pine Technology Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
PUCKW;Goal Acquisitions Corp. Warrant;NO APLICABLE;NO DISPONIBLE
PW^A;Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock;NO APLICABLE;NO DISPONIBLE
PWPPW;Perella Weinberg Partners Warrant;Finanzas;Banqueros/corredores/servicios de inversion
PWUPU;PowerUp Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
PXSAP;Pyxis Tankers Inc. 7.75% Series A Cumulative Convertible Preferred Shares;Transporte;Transporte maritimo
PXSAW;Pyxis Tankers Inc. Warrant;Transporte;Transporte maritimo
PYS;Merrill Lynch Depositor Inc PPlus Tr Ser RRD-1 Tr Ctf Cl A;Finanzas;#N/D
PYT;PPlus Tr GSC-2 Tr Ctf Fltg Rate;NO APLICABLE;NO DISPONIBLE
QRTEP;Qurate Retail, Inc. 8.0% Fixed Rate Cumulative Redeemable Preferred Stock;Servicios al consumidor;Distribucion por catalogo/especializada
QSIAW;Quantum-Si Incorporated Warrant;Sanidad;Biotecnologia Preparados Farmaceuticos
QTEKW;QualTek Services Inc. Warrant;Servicios al consumidor;Equipos de telecomunicaciones
QVCC;QVC, Inc. 6.250% Senior Secured Notes due 2068;NO APLICABLE;NO DISPONIBLE
QVCD;QVC, Inc. 6.375% Senior Secured Notes due 2067;NO APLICABLE;NO DISPONIBLE
RACYU;Relativity Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
RAMMU;Aries I Acquisition Corporation Unit;Finanzas;Servicios a empresas
RAMMW;Aries I Acquisition Corporation Warrant;Finanzas;Servicios a empresas
RC^C;Ready Capital Corporation 6.25% Series C Cumulative Convertible Preferred Stock;NO APLICABLE;NO DISPONIBLE
RC^E;Ready Capital Corporation 6.50% Series E Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
RCA;Ready Capital Corporation 7.00% Convertible Senior Notes due 2023;Servicios al consumidor;Fideicomisos de inversion inmobiliaria
RCACW;Revelstone Capital Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
RCB;Ready Capital Corporation 6.20% Senior Notes due 2026;NO APLICABLE;NO DISPONIBLE
RCC;Ready Capital Corporation 5.75% Senior Notes due 2026;Finanzas;Empresas financieras
RCHGU;Recharge Acquisition Corp. Unit;NO APLICABLE;NO DISPONIBLE
RCHGW;Recharge Acquisition Corp. Warrant;NO APLICABLE;NO DISPONIBLE
RCLFU;Rosecliff Acquisition Corp I Unit;NO APLICABLE;NO DISPONIBLE
RCLFW;Rosecliff Acquisition Corp I Warrants;NO APLICABLE;NO DISPONIBLE
RCRTW;Recruiter.com Group, Inc. Warrant;NO APLICABLE;NO DISPONIBLE
RDBXW;Redbox Entertainment Inc. Warrant;NO APLICABLE;NO DISPONIBLE
REEAW;REE Automotive Ltd. Warrant;NO APLICABLE;NO DISPONIBLE
RELIW;Reliance Global Group, Inc. Series A Warrants;Finanzas;Aseguradoras especializadas
REVBU;Revelation Biosciences, Inc. Unit;Sanidad;Biotecnologia Preparados Farmaceuticos
REVEU;Alpine Acquisition Corporation Unit;NO APLICABLE;NO DISPONIBLE
REVEW;Alpine Acquisition Corporation Warrant;NO APLICABLE;NO DISPONIBLE
REVHU;Revolution Healthcare Acquisition Corp. SAIL Units;NO APLICABLE;NO DISPONIBLE
REVHW;Revolution Healthcare Acquisition Corp. SAIL Warrant.;NO APLICABLE;NO DISPONIBLE
REXR^B;Rexford Industrial Realty, Inc. 5.875% Series B Cumulative Redeemable Preferred Stock;NO APLICABLE;NO DISPONIBLE
REXR^C;Rexford Industrial Realty, Inc. 5.625% Series C Cumulative Redeemable Preferred Stock, par value $0.01 per share;NO APLICABLE;NO DISPONIBLE
RF^B;Regions Financial Corporation Depositary Shares Representing 1/40th Perpetual Preferred Series B;NO APLICABLE;NO DISPONIBLE
RF^C;Regions Financial Corporation Depositary Shares, each Representing a 1/40th Interest in a Share of 5.700% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series C;NO APLICABLE;NO DISPONIBLE
